modelo,tipo_clasificacion,nombre_clasificacion,accuracy,precision,recall,f1,mejores_params,delito
sgd,nivel_riesgo,Nivel de Riesgo,0.9216830120617743,0.910303825151469,0.9216830120617743,0.9124913500528138,,hurto
logistic,nivel_riesgo,Nivel de Riesgo,0.9743616841393304,0.9744206108219513,0.9743616841393304,0.9743538542553645,,hurto
random_forest,nivel_riesgo,Nivel de Riesgo,0.9771305377071356,0.9768252769310743,0.9771305377071356,0.976936848081811,,hurto
gradient_boosting,nivel_riesgo,Nivel de Riesgo,0.9772221282831699,0.9769665545376272,0.9772221282831699,0.9770606595287804,,hurto
knn,nivel_riesgo,Nivel de Riesgo,0.9744250929996618,0.973889687747962,0.9744250929996618,0.9740351532338009,,hurto
decision_tree,nivel_riesgo,Nivel de Riesgo,0.9770248562732499,0.9767154524004468,0.9770248562732499,0.9768275902771016,,hurto
adaboost,nivel_riesgo,Nivel de Riesgo,0.9765739488220043,0.9765707120456404,0.9765739488220043,0.9765723056340495,,hurto
sgd,hotspot_critico,Hotspot Crítico,0.9900659452147447,0.9897919429211331,0.9900659452147447,0.9895543691499575,,hurto
logistic,hotspot_critico,Hotspot Crítico,0.9953711531958066,0.9953633036169581,0.9953711531958066,0.9953671096080642,,hurto
random_forest,hotspot_critico,Hotspot Crítico,0.9954768346296923,0.9954258226494133,0.9954768346296923,0.9954422296775581,,hurto
gradient_boosting,hotspot_critico,Hotspot Crítico,0.995582516063578,0.9955447537987538,0.995582516063578,0.9955593487410084,,hurto
knn,hotspot_critico,Hotspot Crítico,0.994476383722241,0.9943840908347302,0.994476383722241,0.9944039163970779,,hurto
decision_tree,hotspot_critico,Hotspot Crítico,0.9953500169090295,0.9952933592369694,0.9953500169090295,0.9953104653045608,,hurto
adaboost,hotspot_critico,Hotspot Crítico,0.9954627437718409,0.995460267365008,0.9954627437718409,0.9954614937337286,,hurto
sgd,tendencia,Tendencia de Riesgo,0.8751902265809942,0.8797694571265734,0.8751902265809942,0.8382654289703556,,hurto
logistic,tendencia,Tendencia de Riesgo,0.9047810280689889,0.904175409494397,0.9047810280689889,0.8891732159096295,,hurto
random_forest,tendencia,Tendencia de Riesgo,0.9393106752339082,0.9406029606791727,0.9393106752339082,0.9327320683716256,,hurto
gradient_boosting,tendencia,Tendencia de Riesgo,0.9351750084545147,0.9378050564640326,0.9351750084545147,0.9273739516263444,,hurto
knn,tendencia,Tendencia de Riesgo,0.93715477398264,0.9383978969965519,0.93715477398264,0.9305723232070596,,hurto
decision_tree,tendencia,Tendencia de Riesgo,0.9391134032239883,0.9403888031946885,0.9391134032239883,0.9324930054657196,,hurto
adaboost,tendencia,Tendencia de Riesgo,0.8785227144628565,0.8693939161715858,0.8785227144628565,0.8432619405035633,,hurto
sgd,nivel_riesgo,Nivel de Riesgo,0.904225743675285,0.9167642888301814,0.904225743675285,0.8827095899566303,,extorsion
logistic,nivel_riesgo,Nivel de Riesgo,0.9734964322120285,0.9734187054042835,0.9734964322120285,0.9734260320534612,,extorsion
random_forest,nivel_riesgo,Nivel de Riesgo,0.9748401445649152,0.9746916488205795,0.9748401445649152,0.9747428433007808,,extorsion
gradient_boosting,nivel_riesgo,Nivel de Riesgo,0.97581317764804,0.9757919749150572,0.97581317764804,0.9758020120283343,,extorsion
knn,nivel_riesgo,Nivel de Riesgo,0.9696969696969697,0.9692802985368907,0.9696969696969697,0.9694454153954631,,extorsion
decision_tree,nivel_riesgo,Nivel de Riesgo,0.9740524511166713,0.9738685235082785,0.9740524511166713,0.9738936094842823,,extorsion
adaboost,nivel_riesgo,Nivel de Riesgo,0.9756741729218793,0.9756514160199146,0.9756741729218793,0.9756618115838175,,extorsion
sgd,hotspot_critico,Hotspot Crítico,0.9917060513390789,0.9915999031819777,0.9917060513390789,0.991639567148877,,extorsion
logistic,hotspot_critico,Hotspot Crítico,0.9928644240570846,0.9928400165389665,0.9928644240570846,0.9928515275526251,,extorsion
random_forest,hotspot_critico,Hotspot Crítico,0.9926790844222037,0.9925686231797161,0.9926790844222037,0.992598066773062,,extorsion
gradient_boosting,hotspot_critico,Hotspot Crítico,0.9932351033268464,0.9932232478522807,0.9932351033268464,0.9932290023294467,,extorsion
knn,hotspot_critico,Hotspot Crítico,0.9905940135297934,0.9903817237249846,0.9905940135297934,0.9904061254640016,,extorsion
decision_tree,hotspot_critico,Hotspot Crítico,0.9921694004262812,0.9920237651816551,0.9921694004262812,0.9920358991475355,,extorsion
adaboost,hotspot_critico,Hotspot Crítico,0.993142433509406,0.9931363415397528,0.993142433509406,0.9931393443264395,,extorsion
sgd,tendencia,Tendencia de Riesgo,0.8830970252988601,0.8883020382939466,0.8830970252988601,0.850547073768365,,extorsion
logistic,tendencia,Tendencia de Riesgo,0.8944027430265963,0.8929231509564941,0.8944027430265963,0.8723599183371168,,extorsion
random_forest,tendencia,Tendencia de Riesgo,0.928412566027245,0.9314093240517981,0.928412566027245,0.9173890305801721,,extorsion
gradient_boosting,tendencia,Tendencia de Riesgo,0.9272541933092392,0.9321804127688385,0.9272541933092392,0.9154170644157472,,extorsion
knn,tendencia,Tendencia de Riesgo,0.9247521082383467,0.9272796287588313,0.9247521082383467,0.9132128453380407,,extorsion
decision_tree,tendencia,Tendencia de Riesgo,0.9264664998609953,0.9288845224128315,0.9264664998609953,0.9153978811889799,,extorsion
adaboost,tendencia,Tendencia de Riesgo,0.8729033453804096,0.8664754092104994,0.8729033453804096,0.8348905806199894,,extorsion
